Revenue (d2);Labor (l1);Variable Cost (n2a, n2e, n2f, n2b);Investment in new capital (n5a, n5b);Raw Materials Cost (n2e)
19399999488;140;15600000000;8299999744;14000000000
19424000000;72;16188000064;1286000000;15143000064
19599998976;1100;23852999680;11000000512;10853000192
19683000320;285;19208000000;0;15191000064
19800000000;400;9280000000;0;1000000000
20000000000;500;2240000000;4000000000;1240000000
20000000000;6;545000000;0;250000000
20000000000;1670;13480000000;2000000000;0
20000000000;50;19400000000;0;16000000000
20000000000;145;10900000000;0;
20000000000;50;18864000000;1200000000;18000000000
20000000000;75;12550000128;180000000;10750000128
20000000000;20;1025000000;0;0
20000000000;272;2700000000;10000000000;1000000000
20000000000;70;16840000000;600000000;12000000000
20000000000;15;600000000;0;
20000000000;15;10584000000;8500000000;9600000000
20000000000;20;2955000000;800000000;801000000
20000000000;70;5060000000;500000000;
20000000000;150;19040000000;1000000000;16000000000
20000000000;90;4020000000;0;100000000
20000000000;21;6660000000;800000000;4800000000
20000000000;100;16550000000;1000000000;15000000000
20000000000;60;19800000000;2000000000;18000000000
20000000000;70;1720000000;0;0
20000000000;55;20504000000;2000000000;16000000000
20000000000;110;16900000000;100000000;14800000000
20000000000;72;19720000000;0;12000000000
20000000000;180;10000000000;0;0
20000000000;10;236000000;700000000;
20000000000;120;2444000000;0;60000000
20000000000;100;4450000000;0;0
20000000000;39;1741000000;0;
20000000000;130;26600000000;0;10000000000
20000000000;205;9500000000;1300000000;0
20000000000;150;14255000000;1000000000;8000000000
20000000000;85;8084000000;0;
20000000000;200;17250000000;0;2530000000
20000000000;150;8200000000;0;
20000000000;12;1024000000;400000000;
20000000000;60;5200000000;0;
20000000000;34;2935000000;1300000000;
20000000000;37;1900000000;900000000;
20000000000;40;2500000000;3000000000;
20000000000;142;3000000000;2000000000;
20000000000;125;18487000064;303000000;17104000000
20000000000;198;14800000512;28463998976;11000000512
20000000000;50;16926999808;2600000000;15226999808
20049999872;68;17359999744;1420000000;16579999744
20102000000;105;14030000000;700000000;9450000000
20163999744;96;15428999680;5276999936;11902999552
20202000384;65;18161000192;850000000;16350000128
20322119680;226;20357752576;656877024;17705633792
20420999168;13;9942000128;1510000000;6742000128
20500000000;30;760000000;4700000000;
20500000768;150;17740999936;3000000000;16072999936
20771999744;12;20450000576;1672000000;20255000576
20845000000;180;14904000000;0;10400000000
20912001024;16;13616000512;0;13400000512
21000000000;77;13820000000;1500000000;7000000000
21000000000;90;3548000000;1200000000;
21000000000;20;1110000000;250000000;
21000000000;210;6380000000;18500000000;1080000000
21000000000;12;370000000;0;
21000000000;70;16040000000;0;15000000000
21000000000;25;3400000000;3000000000;1200000000
21000000000;15;3000000000;2050000000;
21000000000;500;10040000000;700000000;240000000
21025118208;28;20285220160;0;20087900160
21056999424;75;19172000256;0;17404000256
21199998976;385;16334000640;4860000000;11000000512
21289000960;80;19519001088;0;17328001024
21326000128;90;11610000512;6872000000;9848000512
